Time,XRotation,YRotation,ZRotation,XPosition,YPosition,ZPosition
0,0,0,0,0,0,0
0.02,0,0,0,2,0,3
0.04,-0.1510703,-7.331472E-05,-0.0003267568,2.005552,0.02566932,2.969166
0.05684934,-0.1510596,-7.736749E-05,-0.0003334621,2.005552,0.02566864,2.969167
0.07358779,-0.1510129,-7.563411E-05,-0.0003292014,2.005552,0.02566338,2.969176
0.09008312,-0.1509945,-7.011219E-05,-0.0003345443,2.005553,0.02566124,2.96918
0.1068915,-0.1510151,-7.477252E-05,-0.0003354026,2.005553,0.02566342,2.969176
0.1236019,-0.15105,-7.481337E-05,-0.0003385374,2.005554,0.02566704,2.969169
0.1402177,-0.151063,-7.319776E-05,-0.0003399774,2.005553,0.02566896,2.969167
0.1568877,-0.1510585,-7.846747E-05,-0.0003347513,2.005552,0.02566872,2.969167
0.1735542,-0.1510548,-8.337386E-05,-0.0003421411,2.005553,0.02566823,2.969168
0.1902385,-0.1510416,-8.68179E-05,-0.0003464343,2.005553,0.02566656,2.969171
0.2068523,-0.1509948,-9.405808E-05,-0.0003459053,2.005552,0.02566307,2.969178
0.2236379,-0.1510285,-5.348122E-05,-0.000310153,2.005552,0.02566217,2.969176
0.2402266,-0.1511748,-4.580988E-05,-0.0003154723,2.005554,0.02567426,2.969152
0.2568641,-0.1512079,-5.366407E-05,-0.0003258502,2.005555,0.02568507,2.969138
0.2735914,-0.151009,-5.655712E-05,-0.0003203782,2.005554,0.02567759,2.969162
0.2903111,-0.1509187,-5.841999E-05,-0.0003159679,2.005552,0.02565451,2.969193
0.307078,-0.1509465,-6.931715E-05,-0.0003214963,2.005552,0.02565378,2.969191
0.3236277,-0.1510566,-9.520243E-05,-0.0003283625,2.005552,0.02566638,2.96917
0.3404112,-0.1497031,-0.0003147454,-0.0003677107,2.005553,0.02574825,2.969198
0.357147,-0.1464216,-0.0002917453,-6.587783E-05,2.005533,0.02586066,2.969356
0.37365,-0.1466087,-0.0003393801,-1.673241E-05,2.005512,0.02551306,2.969689
0.3903691,-0.1477747,-0.000209989,-2.62419E-05,2.005485,0.02528765,2.969818
0.4069841,-0.1502635,-5.039067E-05,0.0001294577,2.005467,0.02516343,2.96974
0.4235979,-0.1502149,-2.425468E-05,0.0001352116,2.005467,0.02541698,2.96949
0.4401541,-0.1494338,-7.183812E-05,0.0001025648,2.005476,0.02553998,2.96943
0.4567515,-0.1460178,-0.0002404211,7.322932E-05,2.005489,0.02573417,2.969516
0.4734797,-0.142169,-0.0003447225,0.0003982023,2.005482,0.02582416,2.969744
0.4902788,-0.140787,-0.0003395218,0.0006393994,2.00545,0.02553252,2.970148
0.5068648,-0.1423718,-0.0002967138,0.0005382536,2.005414,0.02504035,2.970503
0.5235319,-0.1430023,-0.0001795834,0.0005735363,2.005386,0.02482262,2.970665
0.5402653,-0.1424955,-0.0002010142,0.0006332969,2.005378,0.02479235,2.970736
0.5568941,-0.141958,-2.986244E-05,0.0005907174,2.005364,0.02472697,2.970843
0.5734005,-0.1416841,-2.341752E-05,0.0006649293,2.005377,0.02470663,2.970885
0.5902697,-0.138747,-0.0002035802,0.0005841351,2.0054,0.02484679,2.970986
0.6069233,-0.1320229,7.158863E-05,0.0007335998,2.005361,0.02523478,2.97116
0.6235211,-0.1271394,-7.944353E-05,0.0009844257,2.005371,0.02524086,2.971556
0.6402367,-0.1232059,0.0002291626,0.00132939,2.005327,0.02496352,2.972143
0.6569038,-0.1192518,0.0007114764,0.001807233,2.00528,0.02470637,2.972709
0.6735495,-0.1147381,0.0004265222,0.001768748,2.005303,0.02446573,2.973301
0.6902359,-0.1092779,0.0004464646,0.001739652,2.005298,0.0241326,2.97405
0.7069325,-0.1042025,0.0003992048,0.00176721,2.005305,0.02377407,2.974784
0.7235136,-0.09931167,0.0001099005,0.001313703,2.005328,0.02321907,2.975667
0.7402173,-0.09346816,-7.251118E-05,0.001254537,2.005338,0.02283549,2.976469
0.7569156,-0.08628953,-0.0002789637,0.001125157,2.005344,0.02249428,2.977333
0.7735388,-0.0787123,5.031051E-07,0.00131697,2.0053,0.02196076,2.978381
0.7902366,-0.07221089,-4.558447E-06,0.001264783,2.005294,0.02121109,2.979504
0.8069001,-0.06752953,0.000248754,0.001503698,2.005269,0.02034958,2.980552
0.8235131,-0.0625368,-5.333575E-05,0.001462974,2.005302,0.01940532,2.981667
0.8402694,-0.05717243,0.000140956,0.001338853,2.005282,0.01869679,2.982611
0.8569183,-0.05236051,0.000168605,0.001272465,2.005279,0.01792528,2.983545
0.8734918,-0.04920838,0.0001744554,0.001631274,2.005281,0.01689032,2.984527
0.8902425,-0.04695684,0.0001818327,0.00149729,2.005284,0.01604916,2.985287
