3.8 ms (263 fps)
3.8 ms (263 fps)
26.0 ms (39 fps)
26.0 ms (39 fps)
44.9 ms (22 fps)
44.9 ms (22 fps)
43.2 ms (23 fps)
43.2 ms (23 fps)
42.2 ms (24 fps)
42.2 ms (24 fps)
39.6 ms (25 fps)
39.6 ms (25 fps)
39.0 ms (26 fps)
39.0 ms (26 fps)
38.4 ms (26 fps)
38.4 ms (26 fps)
37.9 ms (26 fps)
37.9 ms (26 fps)
37.5 ms (27 fps)
37.5 ms (27 fps)
37.1 ms (27 fps)
37.1 ms (27 fps)
36.7 ms (27 fps)
36.7 ms (27 fps)
36.3 ms (28 fps)
36.3 ms (28 fps)
36.0 ms (28 fps)
36.0 ms (28 fps)
35.8 ms (28 fps)
35.8 ms (28 fps)
35.5 ms (28 fps)
35.5 ms (28 fps)
35.3 ms (28 fps)
35.3 ms (28 fps)
35.1 ms (28 fps)
35.1 ms (28 fps)
34.9 ms (29 fps)
34.9 ms (29 fps)
34.8 ms (29 fps)
34.8 ms (29 fps)
34.6 ms (29 fps)
34.6 ms (29 fps)
32.8 ms (30 fps)
32.8 ms (30 fps)
31.2 ms (32 fps)
31.2 ms (32 fps)
29.8 ms (34 fps)
29.8 ms (34 fps)
28.4 ms (35 fps)
28.4 ms (35 fps)
27.3 ms (37 fps)
27.3 ms (37 fps)
26.2 ms (38 fps)
26.2 ms (38 fps)
25.3 ms (40 fps)
25.3 ms (40 fps)
24.4 ms (41 fps)
24.4 ms (41 fps)
23.6 ms (42 fps)
23.6 ms (42 fps)
22.9 ms (44 fps)
22.9 ms (44 fps)
22.3 ms (45 fps)
22.3 ms (45 fps)
21.7 ms (46 fps)
21.7 ms (46 fps)
21.2 ms (47 fps)
21.2 ms (47 fps)
22.4 ms (45 fps)
22.4 ms (45 fps)
23.5 ms (42 fps)
23.5 ms (42 fps)
22.9 ms (44 fps)
22.9 ms (44 fps)
22.2 ms (45 fps)
22.2 ms (45 fps)
23.3 ms (43 fps)
23.3 ms (43 fps)
24.3 ms (41 fps)
24.3 ms (41 fps)
23.6 ms (42 fps)
23.6 ms (42 fps)
22.9 ms (44 fps)
22.9 ms (44 fps)
22.3 ms (45 fps)
22.3 ms (45 fps)
21.7 ms (46 fps)
21.7 ms (46 fps)
21.2 ms (47 fps)
21.2 ms (47 fps)
20.7 ms (48 fps)
20.7 ms (48 fps)
20.3 ms (49 fps)
20.3 ms (49 fps)
20.0 ms (50 fps)
20.0 ms (50 fps)
19.6 ms (51 fps)
19.6 ms (51 fps)
21.0 ms (48 fps)
21.0 ms (48 fps)
20.6 ms (49 fps)
20.6 ms (49 fps)
20.2 ms (50 fps)
20.2 ms (50 fps)
21.5 ms (47 fps)
21.5 ms (47 fps)
21.0 ms (48 fps)
21.0 ms (48 fps)
20.6 ms (49 fps)
20.6 ms (49 fps)
20.2 ms (50 fps)
20.2 ms (50 fps)
19.8 ms (50 fps)
19.8 ms (50 fps)
19.5 ms (51 fps)
19.5 ms (51 fps)
19.2 ms (52 fps)
19.2 ms (52 fps)
19.0 ms (53 fps)
19.0 ms (53 fps)
20.4 ms (49 fps)
20.4 ms (49 fps)
20.0 ms (50 fps)
