Time,XRotation,YRotation,ZRotation,XPosition,YPosition,ZPosition
0,0,0,0,0,0,0
0.02,0,0,0,2,0,3
0.04,0.04948188,-0.002498055,0.06111562,2.006811,-0.05334815,3.037742
0.05668199,0.05000287,-0.001900087,0.06121556,2.006901,-0.05337281,3.037792
0.07326479,0.05039268,-0.001458833,0.06123408,2.007003,-0.05343874,3.037851
0.0899696,0.05094835,-0.00108779,0.06123232,2.007119,-0.05352318,3.037927
0.1067271,0.05156692,-0.0008534747,0.06153866,2.007183,-0.05359865,3.038001
0.1233028,0.05215483,-0.0004965949,0.0621193,2.007182,-0.05369455,3.038077
0.1400261,0.05289387,-8.927117E-05,0.06283344,2.007162,-0.05379798,3.038164
0.1566221,0.05350444,0.000306098,0.06333313,2.007149,-0.05390545,3.038246
0.1733231,0.05379943,0.0005534321,0.06354444,2.00717,-0.05403176,3.038316
0.1900056,0.05400096,0.0009216378,0.06401617,2.007179,-0.05413888,3.038373
0.2066113,0.05400259,0.001244688,0.06428918,2.00719,-0.05419793,3.038399
0.2232748,0.05403793,0.001521483,0.06464621,2.007205,-0.05422508,3.038414
0.2400095,0.05393059,0.001736361,0.06515598,2.007202,-0.0542328,3.038411
0.2566072,0.053892,0.001727831,0.06579651,2.007161,-0.05422786,3.038404
0.2733038,0.05389224,0.001544779,0.06631227,2.007084,-0.05422989,3.0384
0.2901897,0.05396763,0.001408473,0.0664582,2.007011,-0.05424638,3.038407
0.3069785,0.05407463,0.001201813,0.06657235,2.006947,-0.05426523,3.038416
0.3234946,0.05429456,0.001032104,0.0665919,2.006897,-0.05429656,3.038438
0.3401777,0.05473334,0.001006652,0.06639936,2.006895,-0.05433006,3.038478
0.3568401,0.05525303,0.001172066,0.06615148,2.006927,-0.05438937,3.038536
0.373489,0.05582074,0.001277446,0.06606653,2.006978,-0.0544792,3.03861
0.3901994,0.05612596,0.001379136,0.06614212,2.007002,-0.05456227,3.038662
0.4068258,0.05635559,0.001488932,0.06633314,2.007013,-0.05462878,3.038704
0.4232848,0.05674681,0.001716643,0.06677031,2.006992,-0.05467943,3.038747
0.4400057,0.05719483,0.001990255,0.06730419,2.00696,-0.05473121,3.038794
0.4566321,0.05781361,0.002533299,0.06758949,2.006948,-0.05481683,3.038867
0.4732884,0.05814176,0.002904577,0.06759381,2.006979,-0.05487577,3.038913
0.4900125,0.05867338,0.003425427,0.06752029,2.007064,-0.05496817,3.038988
0.5067003,0.05903914,0.003748047,0.06738333,2.007164,-0.0550426,3.039046
0.5233097,0.05921856,0.003952097,0.06739132,2.00725,-0.05511991,3.039092
0.5400113,0.05958995,0.004247481,0.06755986,2.007296,-0.05516518,3.039136
0.5566672,0.06058047,0.004717212,0.06792562,2.007316,-0.05520681,3.039216
0.5733445,0.06201071,0.005132597,0.06833327,2.007324,-0.05526718,3.039329
0.5899311,0.06307475,0.005313661,0.06881368,2.007342,-0.05542826,3.039456
0.6066939,0.06348302,0.005317994,0.06878177,2.007381,-0.05566195,3.039572
0.6233147,0.06432927,0.00492894,0.06872556,2.007418,-0.05578842,3.039671
0.639975,0.06446456,0.004163859,0.06856466,2.00742,-0.05596739,3.039743
0.656688,0.06421871,0.002455755,0.06859539,2.007386,-0.05606725,3.039757
0.6734768,0.06380245,0.0007805644,0.06867994,2.007268,-0.05609722,3.03973
0.6900029,0.06344634,-0.0005007546,0.06875478,2.007078,-0.05608943,3.03969
0.7066535,0.06328416,-0.0009528136,0.06901124,2.006766,-0.05605667,3.039648
0.7233048,0.06293985,-0.00116316,0.06902061,2.006535,-0.05603507,3.039604
0.7400614,0.06240152,-0.00160574,0.06867996,2.006397,-0.05596973,3.039536
0.7566202,0.06186927,-0.002289386,0.06825061,2.00635,-0.05589855,3.039472
0.7733014,0.06161166,-0.003172699,0.06746258,2.006323,-0.05581438,3.039419
0.7899851,0.06142034,-0.004065159,0.06645585,2.006298,-0.05574214,3.039374
0.8066686,0.06151165,-0.004390535,0.06579895,2.006257,-0.05568458,3.039354
0.823314,0.06197201,-0.004629444,0.06565608,2.006216,-0.05565403,3.039367
0.8399895,0.06261522,-0.004815928,0.0654761,2.006176,-0.05569803,3.039419
0.8566031,0.06374358,-0.004687624,0.0651277,2.006161,-0.05575016,3.039507
0.8732207,0.06528774,-0.004097808,0.06471892,2.006175,-0.05582406,3.039633
0.8898702,0.06717306,-0.003126531,0.06392247,2.006254,-0.05595207,3.039805
0.9065946,0.06808586,-0.002736001,0.06354704,2.006421,-0.05616009,3.039949
0.9233409,0.06818943,-0.002256596,0.06296775,2.006589,-0.05641671,3.040062
0.93997,0.06772476,-0.002040667,0.06204187,2.006835,-0.05660527,3.040118
